viirs_id,latitude,longitude,brightness,resolution_along_scan,resolution_along_track,detection_confidence,fire_power,persistent_anomaly,date,province
1,11.766833309999999,102.92606354,331.15844727,0.375,0.375,8,1.48237848,0,2023-01-31,other
1,12.25733089,106.64277649,331.76263428,0.375,0.375,8,3.23644328,5,2023-01-31,other
1,12.24230671,106.48326874,332.14117432,0.375,0.375,8,6.61030102,0,2023-01-31,other
1,12.21665573,106.2784729,342.05093384,0.375,0.375,8,8.28968048,0,2023-01-31,other
1,11.776748659999999,102.94293976,329.9937439,0.375,0.375,8,5.2014966,0,2023-01-31,other
1,11.77614021,102.9385376,347.98608398,0.375,0.375,8,9.94719124,0,2023-01-31,other
1,12.27489471,106.66699219,342.05819702,0.375,0.375,8,8.55691814,5,2023-01-31,other
1,12.27967262,106.66637421,350.07772827,0.375,0.375,8,8.55691814,5,2023-01-31,other
1,12.25965881,106.50689697,337.25619507,0.375,0.375,8,4.6625185,0,2023-01-31,other
1,12.23684788,106.32603455,331.10021973,0.375,0.375,8,2.84606767,0,2023-01-31,other
1,12.41323185,107.70750427,330.24368286,0.375,0.375,8,1.0400896099999999,0,2023-01-31,other
1,12.26438427,106.50628662,338.96444702,0.375,0.375,8,2.76063156,0,2023-01-31,other
1,12.24151421,106.32543182,347.64154053,0.375,0.375,8,10.65955257,0,2023-01-31,other
1,12.3815794,107.24305725,330.00100708,0.375,0.375,8,4.3197183599999995,0,2023-01-31,other
1,12.42643356,107.47907257,330.22424316,0.375,0.375,8,2.20279551,0,2023-01-31,other
1,12.32071686,106.64554596,347.26785278,0.375,0.375,8,6.65606022,0,2023-01-31,other
1,12.32005501,106.64039612,330.93521118,0.375,0.375,8,4.54860353,0,2023-01-31,other
1,11.98715687,104.13064575,337.81430054,0.375,0.375,8,6.36994982,0,2023-01-31,other
1,12.32549477,106.6449585,333.1991272,0.375,0.375,8,6.65606022,0,2023-01-31,other
1,12.3223381,106.54564667,341.95629883,0.375,0.375,8,4.51406765,0,2023-01-31,other
1,12.32167053,106.5404892,337.10818481,0.375,0.375,8,4.51406765,0,2023-01-31,other
1,12.35484123,106.64668274,349.35705566,0.375,0.375,8,11.48988342,0,2023-01-31,other
1,12.00232983,104.00479889,334.6355896,0.375,0.375,8,5.32176352,0,2023-01-31,other
1,12.00161362,103.99966431,329.6758728,0.375,0.375,8,4.48688316,0,2023-01-31,other
1,12.00630665,104.00424957,337.87979126,0.375,0.375,8,5.32176352,0,2023-01-31,other
1,11.98965168,103.95581055,329.41137695,0.375,0.375,8,3.07442427,0,2023-01-31,other
1,12.34814262,106.71340942,347.58087158,0.375,0.375,8,8.82986546,0,2023-01-31,other
1,12.00449371,104.0069046,331.36227417,0.375,0.375,8,5.89670372,0,2023-01-31,other
1,12.00381565,104.00177765,335.90951538,0.375,0.375,8,7.72045946,0,2023-01-31,other
